HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,GroupSize,Deck,CabinNum,Side,CabinSize,Surname,TotalSpend,NecessitiesSpend,EntertainmentSpend,AllGroupCryo,NoGroupCryo,IsAlone,IsChild
Mars,1.0,TRAPPIST-1e,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,F,5.0,P,1,Upead,0.0,0.0,0.0,1,0,1,0
Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,G,0.0,P,1,Brighttt,0.0,0.0,0.0,0,1,0,1
Earth,0.0,55 Cancri e,14.0,0.0,412.0,0.0,1.0,0.0,679.0,0,2,F,6.0,P,1,Brighttt,1092.0,412.0,680.0,0,1,0,0
Earth,1.0,TRAPPIST-1e,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,E,0.0,S,6,Brantuarez,0.0,0.0,0.0,0,0,0,1
Earth,1.0,55 Cancri e,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,E,0.0,S,6,Brantuarez,0.0,0.0,0.0,0,0,0,0
Earth,1.0,55 Cancri e,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,E,0.0,S,6,Mcfaddennon,0.0,0.0,0.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6,E,0.0,S,6,Jacostanley,0.0,0.0,0.0,0,0,0,1
Earth,1.0,PSO J318.5-22,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,E,0.0,S,6,Brantuarez,0.0,0.0,0.0,0,0,0,1
Earth,0.0,TRAPPIST-1e,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6,E,0.0,S,6,Mcfaddennon,0.0,0.0,0.0,0,0,0,1
Mars,0.0,TRAPPIST-1e,21.0,0.0,980.0,2.0,69.0,0.0,0.0,0,1,D,0.0,P,1,Unknown,1051.0,982.0,69.0,0,1,1,0
Europa,1.0,TRAPPIST-1e,62.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,C,2.0,S,1,Fullided,0.0,0.0,0.0,1,0,1,0
Earth,0.0,TRAPPIST-1e,15.0,0.0,0.0,225.0,0.0,998.0,0.0,0,1,F,6.0,S,1,Brookenson,1223.0,225.0,998.0,0,1,1,0
Europa,0.0,55 Cancri e,34.0,0.0,22.0,6073.0,0.0,1438.0,328.0,0,1,C,0.0,P,1,Unconary,7861.0,6095.0,1766.0,0,1,1,0
Mars,0.0,TRAPPIST-1e,43.0,0.0,1125.0,0.0,136.0,48.0,0.0,0,1,F,8.0,P,1,Mare,1309.0,1125.0,184.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,32.0,0.0,0.0,850.0,81.0,437.0,453.0,0,1,G,4.0,S,1,Morsentley,1821.0,850.0,971.0,0,1,1,0
Mars,0.0,TRAPPIST-1e,47.0,0.0,214.0,0.0,1411.0,0.0,1229.0,1,3,F,9.0,P,3,Datie,2854.0,214.0,2640.0,0,1,0,0
Mars,0.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,F,9.0,P,3,Datie,0.0,0.0,0.0,0,1,0,1
Mars,0.0,TRAPPIST-1e,20.0,0.0,0.0,0.0,1750.0,990.0,0.0,1,3,F,9.0,P,3,Datie,2740.0,0.0,2740.0,0,1,0,0
Europa,1.0,55 Cancri e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,D,1.0,S,1,Oingwhedly,0.0,0.0,0.0,1,0,1,0
Mars,0.0,55 Cancri e,23.0,0.0,784.0,964.0,0.0,951.0,0.0,0,1,D,1.0,P,1,Butte,2699.0,1748.0,951.0,0,1,1,0
Earth,0.0,55 Cancri e,15.0,0.0,0.0,492.0,48.0,20.0,401.0,0,1,F,8.0,S,1,Leodger,961.0,492.0,469.0,0,1,1,0
Earth,0.0,55 Cancri e,20.0,0.0,554.0,195.0,0.0,2606.0,0.0,0,1,F,10.0,S,1,Wheelez,3355.0,749.0,2606.0,0,1,1,0
Earth,1.0,55 Cancri e,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,G,1.0,P,1,Batthewitt,0.0,0.0,0.0,1,0,1,0
Earth,1.0,TRAPPIST-1e,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,G,2.0,P,1,Moodsey,0.0,0.0,0.0,1,0,1,0
Europa,0.0,TRAPPIST-1e,45.0,0.0,0.0,164.0,45.0,2511.0,855.0,0,1,B,3.0,P,1,Cylistrand,3575.0,164.0,3411.0,0,1,1,0
Earth,1.0,TRAPPIST-1e,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,G,3.0,P,3,Coopelandez,0.0,0.0,0.0,1,0,0,0
Earth,1.0,55 Cancri e,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,G,3.0,P,3,Coopelandez,0.0,0.0,0.0,1,0,0,1
Earth,1.0,PSO J318.5-22,21.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,G,3.0,P,3,Coopelandez,0.0,0.0,0.0,1,0,0,0
Mars,0.0,TRAPPIST-1e,21.0,0.0,970.0,0.0,180.0,0.0,64.0,0,2,F,10.0,P,2,Chmad,1214.0,970.0,244.0,0,0,0,0
Mars,1.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,F,10.0,P,2,Chmad,0.0,0.0,0.0,0,0,0,0
Earth,0.0,55 Cancri e,35.0,0.0,790.0,0.0,0.0,0.0,0.0,0,1,E,1.0,S,1,Lancis,790.0,790.0,0.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,56.0,0.0,0.0,112.0,0.0,1379.0,127.0,0,1,E,2.0,S,1,Johnshines,1618.0,112.0,1506.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,27.0,0.0,4.0,0.0,2.0,4683.0,0.0,0,1,G,6.0,S,1,Hubbarton,4689.0,4.0,4685.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,25.0,0.0,0.0,0.0,1938.0,0.0,1.0,1,1,F,11.0,S,1,Hickerson,1939.0,0.0,1939.0,0,1,1,0
Europa,0.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,A,1.0,S,3,Tractive,0.0,0.0,0.0,0,0,0,1
Europa,1.0,TRAPPIST-1e,38.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,A,1.0,S,3,Tractive,0.0,0.0,0.0,0,0,0,0
Europa,0.0,TRAPPIST-1e,27.0,0.0,279.0,605.0,3374.0,286.0,3.0,1,3,A,1.0,S,3,Tractive,4547.0,884.0,3663.0,0,0,0,0
Earth,1.0,PSO J318.5-22,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,G,7.0,S,1,Ayalazquez,0.0,0.0,0.0,1,0,1,0
Earth,0.0,TRAPPIST-1e,22.0,0.0,45.0,1096.0,148.0,1377.0,1.0,0,1,F,12.0,S,1,Salez,2667.0,1141.0,1526.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,62.0,0.0,0.0,592.0,0.0,17.0,25.0,0,1,F,13.0,S,1,Greeves,634.0,592.0,42.0,0,1,1,0
Mars,1.0,TRAPPIST-1e,15.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,F,14.0,S,1,Unknown,0.0,0.0,0.0,1,0,0,0
Mars,1.0,TRAPPIST-1e,33.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,E,3.0,S,1,Keen,0.0,0.0,0.0,1,0,0,0
Earth,0.0,TRAPPIST-1e,62.0,0.0,1.0,153.0,197.0,0.0,460.0,0,1,G,6.0,P,1,Pecketton,811.0,154.0,657.0,0,1,1,0
Earth,1.0,PSO J318.5-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,G,10.0,S,2,Leeves,0.0,0.0,0.0,0,0,0,1
Earth,0.0,TRAPPIST-1e,18.0,0.0,1.0,258.0,446.0,0.0,0.0,1,3,G,10.0,S,2,Leeves,705.0,259.0,446.0,0,0,0,0
Earth,0.0,55 Cancri e,21.0,0.0,1946.0,37.0,0.0,0.0,24.0,0,3,F,15.0,S,1,Leeves,2007.0,1983.0,24.0,0,0,0,0
Mars,0.0,TRAPPIST-1e,27.0,0.0,793.0,0.0,2.0,253.0,0.0,0,1,E,4.0,S,1,Binie,1048.0,793.0,255.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,42.0,0.0,887.0,0.0,9.0,6.0,0.0,1,1,F,16.0,S,1,Unknown,902.0,887.0,15.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,19.0,0.0,190.0,0.0,5.0,1.0,726.0,0,1,F,13.0,P,1,Brighttt,922.0,190.0,732.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,17.0,0.0,16.0,2165.0,0.0,0.0,52.0,0,1,F,14.0,P,1,Dillines,2233.0,2181.0,52.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,14.0,0.0,0.0,1.0,0.0,0.0,1063.0,0,1,F,17.0,S,1,Brantuarez,1064.0,1.0,1063.0,0,1,1,0
Mars,0.0,PSO J318.5-22,37.0,0.0,46.0,83.0,738.0,0.0,12.0,0,1,D,3.0,P,1,Make,879.0,129.0,750.0,0,1,1,0
Europa,0.0,TRAPPIST-1e,42.0,0.0,1.0,8397.0,0.0,0.0,506.0,1,1,C,3.0,S,1,Mostedry,8904.0,8398.0,506.0,0,1,1,0
Mars,0.0,TRAPPIST-1e,27.0,0.0,147.0,0.0,1018.0,0.0,0.0,1,1,F,18.0,S,1,Dal,1165.0,147.0,1018.0,0,1,1,0
Mars,0.0,TRAPPIST-1e,28.0,0.0,14.0,0.0,1295.0,0.0,0.0,1,1,F,15.0,P,1,Blité,1309.0,14.0,1295.0,0,1,1,0
Europa,0.0,TRAPPIST-1e,38.0,0.0,0.0,5840.0,0.0,321.0,9654.0,0,1,C,4.0,S,1,Pokerheed,15815.0,5840.0,9975.0,0,1,1,0
Earth,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,G,13.0,S,1,Vinozarks,0.0,0.0,0.0,1,0,1,0
Mars,0.0,TRAPPIST-1e,42.0,0.0,7406.0,0.0,0.0,0.0,0.0,0,3,F,16.0,P,3,Datte,7406.0,7406.0,0.0,0,0,0,0
Mars,1.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,F,16.0,P,3,Datte,0.0,0.0,0.0,0,0,0,1
Mars,0.0,TRAPPIST-1e,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,F,16.0,P,3,Unknown,0.0,0.0,0.0,0,0,0,1
Earth,0.0,TRAPPIST-1e,24.0,0.0,688.0,0.0,0.0,0.0,17.0,1,1,G,14.0,S,1,Coopezmaney,705.0,688.0,17.0,0,1,1,0
Europa,1.0,TRAPPIST-1e,40.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,C,5.0,S,1,Ellcefulve,0.0,0.0,0.0,1,0,1,0
Earth,0.0,TRAPPIST-1e,43.0,0.0,211.0,0.0,0.0,638.0,513.0,0,1,F,17.0,P,1,Kinson,1362.0,211.0,1151.0,0,1,1,0
Mars,1.0,PSO J318.5-22,45.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,E,5.0,S,1,Sacre,0.0,0.0,0.0,1,0,1,0
Earth,1.0,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,G,15.0,S,1,Santry,0.0,0.0,0.0,1,0,1,0
Earth,1.0,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,G,16.0,S,1,Yorkland,0.0,0.0,0.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,27.0,0.0,1.0,697.0,31.0,188.0,0.0,0,2,F,20.0,S,1,Yorkland,917.0,698.0,219.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,670.0,1.0,34.0,0,3,G,9.0,P,3,Dunnisey,705.0,0.0,705.0,0,0,0,0
Earth,1.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,G,9.0,P,3,Hewson,0.0,0.0,0.0,0,0,0,1
Earth,1.0,TRAPPIST-1e,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,G,9.0,P,3,Hewson,0.0,0.0,0.0,0,0,0,1
Europa,0.0,TRAPPIST-1e,54.0,0.0,0.0,1208.0,0.0,3.0,637.0,0,1,A,2.0,S,1,Fictful,1848.0,1208.0,640.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,26.0,0.0,0.0,856.0,5.0,32.0,0.0,0,2,G,11.0,P,2,Carezquez,893.0,856.0,37.0,0,1,0,0
Earth,0.0,TRAPPIST-1e,26.0,0.0,0.0,2811.0,957.0,0.0,87.0,1,2,G,11.0,P,2,Carezquez,3855.0,2811.0,1044.0,0,1,0,0
Earth,0.0,PSO J318.5-22,23.0,0.0,311.0,427.0,526.0,37.0,0.0,0,2,F,19.0,P,1,Leetersoney,1301.0,738.0,563.0,0,1,0,0
Earth,0.0,TRAPPIST-1e,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,F,12.0,S,1,Connelson,0.0,0.0,0.0,0,1,0,1
Mars,1.0,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,F,897.0,S,1,Trad,0.0,0.0,0.0,1,0,1,0
Earth,0.0,TRAPPIST-1e,18.0,0.0,0.0,0.0,0.0,830.0,91.0,0,1,F,23.0,S,1,Holson,921.0,0.0,921.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,17.0,1,3,F,24.0,S,1,Mclainez,17.0,0.0,17.0,0,0,0,0
Earth,1.0,55 Cancri e,9.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,G,18.0,S,2,Mclainez,0.0,0.0,0.0,0,0,0,1
Earth,1.0,TRAPPIST-1e,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,G,18.0,S,2,Mclainez,0.0,0.0,0.0,0,0,0,1
Earth,0.0,TRAPPIST-1e,27.0,0.0,0.0,0.0,570.0,2.0,131.0,0,1,F,21.0,P,1,Cleachrand,703.0,0.0,703.0,0,1,1,0
Mars,0.0,TRAPPIST-1e,21.0,0.0,1743.0,5.0,17.0,0.0,0.0,0,1,D,2.0,S,1,Hart,1765.0,1748.0,17.0,0,1,1,0
Earth,1.0,TRAPPIST-1e,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,G,19.0,S,3,Handertiz,0.0,0.0,0.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,31.0,0.0,562.0,0.0,326.0,0.0,0.0,0,3,G,19.0,S,3,Unknown,888.0,562.0,326.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,G,19.0,S,3,Handertiz,0.0,0.0,0.0,0,0,0,1
Europa,0.0,TRAPPIST-1e,32.0,0.0,0.0,410.0,6.0,3929.0,764.0,0,4,B,5.0,P,4,Aloubtled,5109.0,410.0,4699.0,0,0,0,0
Europa,0.0,TRAPPIST-1e,40.0,0.0,0.0,331.0,0.0,0.0,1687.0,0,4,B,5.0,P,4,Bootious,2018.0,331.0,1687.0,0,0,0,0
Europa,0.0,TRAPPIST-1e,42.0,0.0,2209.0,11418.0,0.0,1868.0,445.0,1,4,B,5.0,P,4,Aloubtled,15940.0,13627.0,2313.0,0,0,0,0
Europa,1.0,TRAPPIST-1e,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,B,5.0,P,4,Aloubtled,0.0,0.0,0.0,0,0,0,0
Europa,1.0,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,E,6.0,S,1,Supred,0.0,0.0,0.0,1,0,1,0
Europa,0.0,55 Cancri e,48.0,1.0,0.0,2537.0,87.0,17.0,13.0,1,1,B,1.0,S,1,Cowtale,2654.0,2537.0,117.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,64.0,0.0,0.0,0.0,804.0,0.0,0.0,1,1,F,23.0,P,1,Carvis,804.0,0.0,804.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,27.0,0.0,82.0,157.0,429.0,238.0,1.0,0,1,G,20.0,S,1,Beckerson,907.0,239.0,668.0,0,1,1,0
Mars,0.0,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,F,24.0,S,1,Pead,0.0,0.0,0.0,0,0,1,0
Europa,0.0,TRAPPIST-1e,33.0,0.0,1.0,2223.0,0.0,12.0,404.0,1,1,D,4.0,P,1,Suptive,2640.0,2224.0,416.0,0,1,1,0
Europa,0.0,TRAPPIST-1e,39.0,0.0,0.0,2344.0,0.0,65.0,6898.0,0,2,A,0.0,P,2,Coning,9307.0,2344.0,6963.0,0,0,0,0
Europa,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,A,0.0,P,2,Coning,0.0,0.0,0.0,0,0,0,0
Mars,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,F,25.0,P,1,Sacre,0.0,0.0,0.0,1,0,1,0
Earth,0.0,TRAPPIST-1e,29.0,0.0,0.0,0.0,0.0,699.0,74.0,0,1,G,21.0,S,1,Hayder,773.0,0.0,773.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,18.0,0.0,55.0,597.0,49.0,0.0,1.0,0,1,F,27.0,P,1,Fielson,702.0,652.0,50.0,0,1,1,0
Mars,1.0,TRAPPIST-1e,67.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,F,27.0,S,1,Mish,0.0,0.0,0.0,1,0,1,0
Mars,0.0,TRAPPIST-1e,35.0,0.0,701.0,0.0,296.0,0.0,25.0,0,1,E,7.0,S,1,Mesty,1022.0,701.0,321.0,0,1,1,0
Mars,0.0,TRAPPIST-1e,61.0,1.0,2353.0,334.0,9.0,316.0,2.0,0,2,D,3.0,S,1,Fles,3014.0,2687.0,327.0,0,1,0,0
Mars,0.0,TRAPPIST-1e,45.0,0.0,2103.0,6.0,0.0,0.0,0.0,0,2,E,8.0,S,1,Fles,2109.0,2109.0,0.0,0,1,0,0
Earth,1.0,PSO J318.5-22,22.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,G,22.0,S,1,Fowles,0.0,0.0,0.0,1,0,1,0
Mars,1.0,TRAPPIST-1e,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,F,29.0,S,1,Blie,0.0,0.0,0.0,0,0,0,0
Mars,0.0,TRAPPIST-1e,36.0,0.0,2738.0,0.0,0.0,0.0,0.0,0,2,D,5.0,S,1,Blie,2738.0,2738.0,0.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,19.0,0.0,0.0,14.0,730.0,0.0,0.0,1,1,G,17.0,P,1,Harmontry,744.0,14.0,730.0,0,1,1,0
Earth,0.0,PSO J318.5-22,47.0,0.0,97.0,418.0,126.0,25.0,55.0,0,1,G,23.0,S,1,Unknown,721.0,515.0,206.0,0,1,1,0
Earth,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,G,18.0,P,1,Gambs,0.0,0.0,0.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,34.0,0.0,0.0,22.0,0.0,564.0,207.0,0,2,E,5.0,P,1,Gambs,793.0,22.0,771.0,0,0,0,0
Europa,1.0,55 Cancri e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,C,6.0,S,1,Myling,0.0,0.0,0.0,1,0,1,0
Earth,1.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,G,19.0,P,1,Mejiaddox,0.0,0.0,0.0,0,0,0,0
Earth,0.0,TRAPPIST-1e,26.0,0.0,440.0,0.0,0.0,0.0,462.0,0,2,F,29.0,P,1,Whitakers,902.0,440.0,462.0,0,0,0,0
Mars,0.0,TRAPPIST-1e,31.0,0.0,0.0,0.0,97.0,0.0,0.0,0,1,F,30.0,P,1,Harte,97.0,0.0,97.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,20.0,0.0,0.0,420.0,210.0,0.0,0.0,1,1,F,31.0,S,1,Dayers,630.0,420.0,210.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,G,25.0,S,1,Wolferguson,0.0,0.0,0.0,0,1,1,0
Earth,1.0,TRAPPIST-1e,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,G,26.0,S,1,Hubbarrison,0.0,0.0,0.0,1,0,1,0
Mars,0.0,TRAPPIST-1e,42.0,0.0,1072.0,0.0,10.0,0.0,76.0,0,1,F,31.0,P,1,Pashe,1158.0,1072.0,86.0,0,1,1,0
Earth,1.0,55 Cancri e,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,G,27.0,S,1,Hubbarrison,0.0,0.0,0.0,1,0,1,0
Earth,1.0,55 Cancri e,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,G,20.0,P,1,Simson,0.0,0.0,0.0,1,0,1,0
Earth,0.0,nan,41.0,0.0,0.0,0.0,0.0,0.0,607.0,0,1,F,32.0,P,1,Estron,607.0,0.0,607.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,22.0,0.0,4119.0,0.0,0.0,0.0,61.0,0,1,G,22.0,P,1,Atkinney,4180.0,4119.0,61.0,0,1,1,0
Europa,1.0,TRAPPIST-1e,26.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,B,8.0,P,2,Hetforhaft,0.0,0.0,0.0,1,0,0,0
Europa,1.0,TRAPPIST-1e,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,B,8.0,P,2,Hetforhaft,0.0,0.0,0.0,1,0,0,0
Earth,0.0,TRAPPIST-1e,57.0,0.0,50.0,1688.0,0.0,0.0,135.0,1,2,G,28.0,S,2,Hutchinton,1873.0,1738.0,135.0,0,0,0,0
Earth,1.0,PSO J318.5-22,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,G,28.0,S,2,Hutchinton,0.0,0.0,0.0,0,0,0,0
Mars,1.0,TRAPPIST-1e,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,F,37.0,P,1,Anche,0.0,0.0,0.0,1,0,1,0
Mars,1.0,TRAPPIST-1e,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,F,35.0,S,2,Floaf,0.0,0.0,0.0,0,0,0,0
Mars,0.0,TRAPPIST-1e,27.0,0.0,1365.0,0.0,48.0,22.0,137.0,0,2,F,35.0,S,2,Floaf,1572.0,1365.0,207.0,0,0,0,0
Earth,1.0,TRAPPIST-1e,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,G,23.0,P,1,Fisherry,0.0,0.0,0.0,1,0,1,0
Earth,0.0,TRAPPIST-1e,24.0,0.0,0.0,0.0,0.0,221.0,567.0,0,1,E,10.0,S,1,Mcmahoney,788.0,0.0,788.0,0,1,1,0
Earth,1.0,PSO J318.5-22,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,G,30.0,S,1,Gordanieves,0.0,0.0,0.0,1,0,1,0
Earth,1.0,TRAPPIST-1e,32.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,G,24.0,P,1,Johnshines,0.0,0.0,0.0,1,0,1,0
Earth,0.0,TRAPPIST-1e,58.0,0.0,0.0,985.0,0.0,5.0,0.0,1,1,E,11.0,S,1,Grifford,990.0,985.0,5.0,0,1,1,0
Earth,0.0,55 Cancri e,21.0,0.0,287.0,0.0,16.0,115.0,175.0,0,1,F,38.0,P,1,Lambles,593.0,287.0,306.0,0,1,1,0
Europa,0.0,TRAPPIST-1e,38.0,0.0,0.0,10346.0,1.0,14970.0,2111.0,0,1,B,2.0,S,1,Iniouser,27428.0,10346.0,17082.0,0,1,1,0
Mars,0.0,TRAPPIST-1e,38.0,0.0,3414.0,0.0,161.0,28.0,119.0,0,1,D,6.0,S,1,Knik,3722.0,3414.0,308.0,0,1,1,0
Earth,0.0,TRAPPIST-1e,19.0,0.0,1.0,219.0,673.0,2.0,11.0,1,3,G,26.0,P,3,Webstephrey,906.0,220.0,686.0,0,1,0,0
